,file_name,file_datetime,has_bf_label,product_name,product_categories,product_price,product_old_price,product_percentage
73,27000mah-massive-power-charing-bank-traveller-3-byte-oraimo-mpg1633836.html,2022-11-25 06:12:46.782565,1,Oraimo Super Max Digital  Fast Charge Powerbank -27000mah BULLDOZER,"Phones & Tablets,Carrier Cell Phones","₦ 25,900",,
74,27000mah-massive-power-charing-bank-traveller-3-byte-oraimo-mpg1669347.html,2022-11-25 06:18:29.390385,1,Oraimo 27000mAh Massive Power Charing Bank Traveller 3 Byte,"Phones & Tablets,Mobile Phone Accessories,Batteries & Battery Packs,Portable Power Banks","₦ 15,800","₦ 43,529",64%
75,2g-3g-4g-gsm-booster-tplink-mpg1592662.html,2022-11-25 06:30:35.429196,0,TPLink 2G/ 3G/ 4G GSM BOOSTER,"Electronics,Radios & Transceivers,Repeaters","₦ 75,000","₦ 95,000",21%
76,2in1-multi-functional-silver-crest-blender-100-pure-copper-silver-crest-mpg1671809.html,2022-11-25 06:20:39.003037,1,Silver Crest 2in1 Multi Functional Silver Crest Blender 100% Pure Copper,"Home & Office,Home & Kitchen,Kitchen & Dining,Small Appliances,Blenders","₦ 20,000",,
77,3-in-1-heavy-duty-stainless-steel-electric-blender-850w-master-chef-mpg1673678.html,2022-11-25 06:20:27.114516,0,Master Chef 3-In-1 Heavy Duty Stainless Steel Electric Blender-850W,"Home & Office,Home & Kitchen,Kitchen & Dining,Small Appliances,Blenders","₦ 55,000","₦ 76,000",28%
78,3-in-1-set-ladies-handbag-shoulder-bag-purse-crossbody-bag-for-women-gray-fashion-mpg1626172.html,2022-11-25 06:21:31.386741,1,3 In 1 Women Handbag  - Gray,"Fashion,Women's Fashion,Handbags & Wallets,Handbags","₦ 6,990","₦ 9,941",30%
79,3-in-1-wireless-touch-lamp-quran-speaker-for-reciting-quran-equantu-mpg1651716.html,2022-11-25 06:30:35.429196,1,Equantu 3 In 1 Wireless Touch Lamp Quran Speaker For Reciting Quran,"Electronics,Portable Audio & Recorders,MP3 & MP4 Players","₦ 19,000","₦ 35,000",46%
80,3-piece-non-stick-pot-big-size-master-chef-mpg1199888.html,2022-11-25 06:16:21.226866,1,3 Piece Non-Stick Pot Big Size,"Home & Office,Home & Kitchen,Kitchen & Dining,Cookware,Cookware Sets","₦ 32,000",,
81,3-piece-non-stick-pot-big-size-master-chef-mpg1576676.html,2022-11-25 06:18:41.531695,0,Master Chef Non-stick Pot - Big Size,"Home & Office,Home & Kitchen,Kitchen & Dining,Cookware,Cookware Sets","₦ 34,999",,
82,3.1-f3l-home-theatre-bluetooth-fm-radio-usb-port-dvd-djack-mpg1527003.html,2022-11-25 06:12:30.321643,1,Djack 3.1 F3l Home Theatre+ Bluetooth + FM Radio + USB Port + DVD,"Electronics,Home Audio,Home Theater Systems,Complete Home Theater Systems","₦ 47,490","₦ 87,990",46%
83,3.1-powerful-bluetooth-home-theatre-dj-d3l-djack-mpg1583435.html,2022-11-25 06:31:21.588619,0,Djack 3.1 Powerful Bluetooth Home Theatre -D3L,"Electronics,Home Audio,Home Theater Systems,Speakers,Subwoofers","₦ 49,200","₦ 232,500",79%
84,3.1ch-bluetooth-home-theater-djack-mpg1521229.html,2022-11-25 06:31:25.556721,0,Djack 3.1CH Bluetooth Home Theater,"Electronics,Home Audio,Home Theater Systems,Sound Bars","₦ 34,999","₦ 38,000",8%
